Moneda,Fecha,total_volumes
bitcoin,2018-08-22,6336.66
bitcoin,2018-08-23,6521.07
bitcoin,2018-08-24,6684.38
bitcoin,2018-08-25,6736.04
bitcoin,2018-08-26,6728.29
bitcoin,2018-08-27,6911.1
bitcoin,2018-08-28,7075.98
bitcoin,2018-08-29,7046.75
bitcoin,2018-08-30,7024.15
bitcoin,2018-08-31,7027.63
bitcoin,2018-09-01,7211.27
bitcoin,2018-09-02,7305.27
bitcoin,2018-09-03,7260.9
bitcoin,2018-09-04,7359.46
bitcoin,2018-09-05,6764.93
bitcoin,2018-09-06,6498.28
bitcoin,2018-09-07,6397.82
bitcoin,2018-09-08,6181.19
bitcoin,2018-09-09,6260.76
bitcoin,2018-09-10,6308.14
bitcoin,2018-09-11,6278.92
bitcoin,2018-09-12,6330.57
bitcoin,2018-09-13,6486.46
bitcoin,2018-09-14,6500.01
bitcoin,2018-09-15,6530.22
bitcoin,2018-09-16,6506.25
bitcoin,2018-09-17,6250.12
bitcoin,2018-09-18,6347.07
bitcoin,2018-09-19,6383.75
bitcoin,2018-09-20,6491.89
bitcoin,2018-09-21,6753.83
bitcoin,2018-09-22,6747.03
bitcoin,2018-09-23,6711.03
bitcoin,2018-09-24,6596.19
bitcoin,2018-09-25,6441.31
bitcoin,2018-09-26,6462.8
bitcoin,2018-09-27,6704.7
bitcoin,2018-09-28,6634.77
bitcoin,2018-09-29,6606.07
bitcoin,2018-09-30,6626.04
bitcoin,2018-10-01,6598.84
bitcoin,2018-10-02,6524.61
bitcoin,2018-10-03,6499.26
bitcoin,2018-10-04,6578.7
bitcoin,2018-10-05,6621.19
bitcoin,2018-10-06,6589.12
bitcoin,2018-10-07,6584.83
bitcoin,2018-10-08,6653.09
bitcoin,2018-10-09,6633.75
bitcoin,2018-10-10,6582.46
bitcoin,2018-10-11,6234.37
bitcoin,2018-10-12,6285.59
bitcoin,2018-10-13,6314.88
bitcoin,2018-10-14,6328.55
bitcoin,2018-10-15,6659.88
bitcoin,2018-10-16,6635.13
bitcoin,2018-10-17,6635.74
bitcoin,2018-10-18,6517.51
bitcoin,2018-10-19,6483.83
bitcoin,2018-10-20,6532.68
bitcoin,2018-10-21,6529.67
bitcoin,2018-10-22,6512.59
bitcoin,2018-10-23,6472.8
bitcoin,2018-10-24,6481.44
bitcoin,2018-10-25,6458.19
bitcoin,2018-10-26,6468.83
bitcoin,2018-10-27,6457.06
bitcoin,2018-10-28,6481.32
bitcoin,2018-10-29,6292.65
bitcoin,2018-10-30,6331.78
bitcoin,2018-10-31,6366.72
bitcoin,2018-11-01,6379.97
bitcoin,2018-11-02,6425.44
bitcoin,2018-11-03,6388.19
bitcoin,2018-11-04,6351.06
bitcoin,2018-11-05,6415.44
bitcoin,2018-11-06,6474.85
bitcoin,2018-11-07,6574.8
bitcoin,2018-11-08,6490.45
bitcoin,2018-11-09,6413.78
bitcoin,2018-11-10,6429.9
bitcoin,2018-11-11,6434.28
bitcoin,2018-11-12,6411.35
bitcoin,2018-11-13,6394.29
bitcoin,2018-11-14,5788.61
bitcoin,2018-11-15,5686.54
bitcoin,2018-11-16,5609.96
bitcoin,2018-11-17,5599.19
bitcoin,2018-11-18,5638.86
bitcoin,2018-11-19,4889.2
bitcoin,2018-11-20,4450.71
bitcoin,2018-11-21,4613.45
bitcoin,2018-11-22,4307.39
bitcoin,2018-11-23,4376.9
bitcoin,2018-11-24,3895.84
bitcoin,2018-11-25,4039.84
bitcoin,2018-11-26,3811.92
bitcoin,2018-11-27,3832.92
bitcoin,2018-11-28,4267.24
bitcoin,2018-11-29,4279.48
bitcoin,2018-11-30,4009.69
bitcoin,2018-12-01,4189.57
bitcoin,2018-12-02,4124.59
bitcoin,2018-12-03,3878.84
bitcoin,2018-12-04,3943.69
bitcoin,2018-12-05,3751.69
bitcoin,2018-12-06,3466.76
bitcoin,2018-12-07,3408.52
bitcoin,2018-12-08,3424.71
bitcoin,2018-12-09,3550.55
bitcoin,2018-12-10,3433.81
bitcoin,2018-12-11,3378.81
bitcoin,2018-12-12,3438.1
bitcoin,2018-12-13,3294.64
bitcoin,2018-12-14,3216.63
bitcoin,2018-12-15,3221.98
bitcoin,2018-12-16,3217.05
bitcoin,2018-12-17,3506.22
bitcoin,2018-12-18,3655.78
bitcoin,2018-12-19,3687.75
bitcoin,2018-12-20,4065.1
bitcoin,2018-12-21,3846.23
bitcoin,2018-12-22,3960.57
bitcoin,2018-12-23,3941.62
bitcoin,2018-12-24,4021.99
bitcoin,2018-12-25,3759.18
bitcoin,2018-12-26,3781.61
bitcoin,2018-12-27,3587.7
bitcoin,2018-12-28,3854.42
bitcoin,2018-12-29,3778.19
bitcoin,2018-12-30,3809.73
bitcoin,2018-12-31,3692.53
bitcoin,2019-01-01,3794.26
bitcoin,2019-01-02,3872.17
bitcoin,2019-01-03,3776.53
bitcoin,2019-01-04,3815.27
bitcoin,2019-01-05,3787.31
bitcoin,2019-01-06,4013.52
bitcoin,2019-01-07,3989.67
bitcoin,2019-01-08,3973.59
bitcoin,2019-01-09,3982.23
bitcoin,2019-01-10,3623.85
bitcoin,2019-01-11,3632.85
bitcoin,2019-01-12,3598.44
bitcoin,2019-01-13,3495.83
bitcoin,2019-01-14,3648.05
bitcoin,2019-01-15,3567.8
bitcoin,2019-01-16,3597.65
bitcoin,2019-01-17,3620.98
bitcoin,2019-01-18,3597.79
bitcoin,2019-01-19,3674.59
bitcoin,2019-01-20,3539.17
bitcoin,2019-01-21,3531.0
bitcoin,2019-01-22,3571.27
bitcoin,2019-01-23,3555.7
bitcoin,2019-01-24,3565.64
bitcoin,2019-01-25,3564.82
bitcoin,2019-01-26,3563.61
bitcoin,2019-01-27,3553.12
bitcoin,2019-01-28,3432.22
bitcoin,2019-01-29,3413.38
bitcoin,2019-01-30,3457.88
bitcoin,2019-01-31,3431.94
bitcoin,2019-02-01,3464.49
bitcoin,2019-02-02,3486.58
bitcoin,2019-02-03,3454.03
bitcoin,2019-02-04,3464.0
bitcoin,2019-02-05,3469.89
bitcoin,2019-02-06,3405.84
bitcoin,2019-02-07,3394.01
bitcoin,2019-02-08,3664.28
bitcoin,2019-02-09,3667.41
bitcoin,2019-02-10,3675.69
bitcoin,2019-02-11,3631.44
bitcoin,2019-02-12,3633.97
bitcoin,2019-02-13,3610.06
bitcoin,2019-02-14,3589.66
bitcoin,2019-02-15,3601.23
bitcoin,2019-02-16,3622.59
bitcoin,2019-02-17,3665.08
bitcoin,2019-02-18,3886.52
bitcoin,2019-02-19,3915.01
bitcoin,2019-02-20,3976.81
bitcoin,2019-02-21,3934.81
bitcoin,2019-02-22,3973.64
bitcoin,2019-02-23,4115.34
bitcoin,2019-02-24,3742.87
bitcoin,2019-02-25,3824.68
bitcoin,2019-02-26,3809.21
bitcoin,2019-02-27,3813.38
bitcoin,2019-02-28,3815.61
bitcoin,2019-03-01,3815.75
bitcoin,2019-03-02,3819.65
bitcoin,2019-03-03,3806.95
bitcoin,2019-03-04,3712.81
bitcoin,2019-03-05,3852.46
bitcoin,2019-03-06,3860.51
bitcoin,2019-03-07,3871.64
bitcoin,2019-03-08,3861.88
bitcoin,2019-03-09,3941.6
bitcoin,2019-03-10,3923.56
bitcoin,2019-03-11,3860.36
bitcoin,2019-03-12,3876.48
bitcoin,2019-03-13,3865.82
bitcoin,2019-03-14,3876.7
bitcoin,2019-03-15,3925.46
bitcoin,2019-03-16,4007.71
bitcoin,2019-03-17,3980.99
bitcoin,2019-03-18,3986.71
bitcoin,2019-03-19,4013.58
bitcoin,2019-03-20,4045.57
bitcoin,2019-03-21,3983.32
bitcoin,2019-03-22,3989.16
bitcoin,2019-03-23,4008.95
bitcoin,2019-03-24,3993.39
bitcoin,2019-03-25,3927.58
bitcoin,2019-03-26,3938.66
bitcoin,2019-03-27,4036.16
bitcoin,2019-03-28,4028.39
bitcoin,2019-03-29,4103.32
bitcoin,2019-03-30,4103.86
bitcoin,2019-03-31,4103.52
bitcoin,2019-04-01,4146.32
bitcoin,2019-04-02,4862.23
bitcoin,2019-04-03,4955.83
bitcoin,2019-04-04,4899.02
bitcoin,2019-04-05,5014.96
bitcoin,2019-04-06,5041.87
bitcoin,2019-04-07,5176.98
bitcoin,2019-04-08,5266.89
bitcoin,2019-04-09,5172.18
bitcoin,2019-04-10,5308.91
bitcoin,2019-04-11,5047.79
bitcoin,2019-04-12,5082.47
bitcoin,2019-04-13,5072.99
bitcoin,2019-04-14,5149.31
bitcoin,2019-04-15,5039.88
bitcoin,2019-04-16,5213.6
bitcoin,2019-04-17,5218.96
bitcoin,2019-04-18,5274.77
bitcoin,2019-04-19,5280.35
bitcoin,2019-04-20,5307.69
bitcoin,2019-04-21,5311.16
bitcoin,2019-04-22,5380.94
bitcoin,2019-04-23,5557.93
bitcoin,2019-04-24,5452.1
bitcoin,2019-04-25,5203.09
bitcoin,2019-04-26,5295.85
bitcoin,2019-04-27,5256.98
bitcoin,2019-04-28,5257.8
bitcoin,2019-04-29,5199.76
bitcoin,2019-04-30,5292.8
bitcoin,2019-05-01,5354.59
bitcoin,2019-05-02,5450.71
bitcoin,2019-05-03,5731.49
bitcoin,2019-05-04,5803.94
bitcoin,2019-05-05,5749.32
bitcoin,2019-05-06,5715.76
bitcoin,2019-05-07,5841.05
bitcoin,2019-05-08,5957.86
bitcoin,2019-05-09,6168.27
bitcoin,2019-05-10,6370.23
bitcoin,2019-05-11,7258.26
bitcoin,2019-05-12,6953.75
bitcoin,2019-05-13,7805.98
bitcoin,2019-05-14,7990.06
bitcoin,2019-05-15,8192.22
bitcoin,2019-05-16,7875.91
bitcoin,2019-05-17,7343.37
bitcoin,2019-05-18,7300.66
bitcoin,2019-05-19,8168.73
bitcoin,2019-05-20,7976.85
bitcoin,2019-05-21,7958.37
bitcoin,2019-05-22,7665.8
bitcoin,2019-05-23,7861.81
bitcoin,2019-05-24,7977.24
bitcoin,2019-05-25,8037.63
bitcoin,2019-05-26,8631.08
bitcoin,2019-05-27,8816.03
bitcoin,2019-05-28,8726.98
bitcoin,2019-05-29,8650.68
bitcoin,2019-05-30,8310.89
bitcoin,2019-05-31,8575.65
bitcoin,2019-06-01,8554.26
bitcoin,2019-06-02,8743.71
bitcoin,2019-06-03,8173.63
bitcoin,2019-06-04,7683.64
bitcoin,2019-06-05,7812.45
bitcoin,2019-06-06,7821.12
bitcoin,2019-06-07,8036.11
bitcoin,2019-06-08,7942.54
bitcoin,2019-06-09,7668.03
bitcoin,2019-06-10,8002.73
bitcoin,2019-06-11,7897.98
bitcoin,2019-06-12,8145.06
bitcoin,2019-06-13,8227.63
bitcoin,2019-06-14,8671.51
bitcoin,2019-06-15,8818.61
bitcoin,2019-06-16,8978.77
bitcoin,2019-06-17,9312.87
bitcoin,2019-06-18,9094.02
bitcoin,2019-06-19,9285.93
bitcoin,2019-06-20,9548.31
bitcoin,2019-06-21,10118.36
bitcoin,2019-06-22,10704.92
bitcoin,2019-06-23,10846.13
bitcoin,2019-06-24,11045.55
bitcoin,2019-06-25,11808.42
bitcoin,2019-06-26,12996.12
bitcoin,2019-06-27,11178.68
bitcoin,2019-06-28,12352.2
bitcoin,2019-06-29,11972.56
bitcoin,2019-06-30,10888.1
bitcoin,2019-07-01,10639.05
bitcoin,2019-07-02,10822.76
bitcoin,2019-07-03,11975.64
bitcoin,2019-07-04,11229.61
bitcoin,2019-07-05,10987.25
bitcoin,2019-07-06,11279.48
bitcoin,2019-07-07,11436.43
bitcoin,2019-07-08,12260.28
bitcoin,2019-07-09,12544.17
bitcoin,2019-07-10,12166.4
bitcoin,2019-07-11,11385.06
bitcoin,2019-07-12,11804.56
bitcoin,2019-07-13,11418.51
bitcoin,2019-07-14,10285.46
bitcoin,2019-07-15,10911.35
bitcoin,2019-07-16,9538.83
bitcoin,2019-07-17,9657.3
bitcoin,2019-07-18,10636.16
bitcoin,2019-07-19,10536.57
bitcoin,2019-07-20,10774.28
bitcoin,2019-07-21,10607.46
bitcoin,2019-07-22,10343.32
bitcoin,2019-07-23,9936.38
bitcoin,2019-07-24,9799.31
bitcoin,2019-07-25,9878.23
bitcoin,2019-07-26,9846.0
bitcoin,2019-07-27,9447.68
bitcoin,2019-07-28,9534.76
bitcoin,2019-07-29,9510.59
bitcoin,2019-07-30,9568.44
bitcoin,2019-07-31,10063.0
bitcoin,2019-08-01,10361.31
bitcoin,2019-08-02,10529.17
bitcoin,2019-08-03,10791.2
bitcoin,2019-08-04,10951.59
bitcoin,2019-08-05,11818.53
bitcoin,2019-08-06,11510.16
bitcoin,2019-08-07,11970.66
bitcoin,2019-08-08,12024.33
bitcoin,2019-08-09,11852.56
bitcoin,2019-08-10,11327.84
bitcoin,2019-08-11,11550.0
bitcoin,2019-08-12,11381.24
bitcoin,2019-08-13,10903.65
bitcoin,2019-08-14,10016.22
bitcoin,2019-08-15,10295.88
bitcoin,2019-08-16,10324.99
bitcoin,2019-08-17,10224.22
bitcoin,2019-08-18,10309.87
bitcoin,2019-08-19,10895.97
bitcoin,2019-08-20,10743.79
bitcoin,2019-08-21,10124.06
bitcoin,2019-08-22,10127.79
bitcoin,2019-08-23,10385.51
bitcoin,2019-08-24,10145.01
bitcoin,2019-08-25,10090.06
bitcoin,2019-08-26,10334.91
bitcoin,2019-08-27,10167.89
bitcoin,2019-08-28,9753.49
bitcoin,2019-08-29,9485.14
bitcoin,2019-08-30,9588.99
bitcoin,2019-08-31,9607.29
bitcoin,2019-09-01,9729.27
bitcoin,2019-09-02,10323.02
bitcoin,2019-09-03,10620.17
bitcoin,2019-09-04,10573.52
bitcoin,2019-09-05,10570.25
bitcoin,2019-09-06,10350.75
bitcoin,2019-09-07,10461.55
bitcoin,2019-09-08,10404.33
bitcoin,2019-09-09,10321.93
bitcoin,2019-09-10,10121.1
bitcoin,2019-09-11,10150.71
bitcoin,2019-09-12,10401.32
bitcoin,2019-09-13,10355.63
bitcoin,2019-09-14,10349.55
bitcoin,2019-09-15,10305.68
bitcoin,2019-09-16,10268.42
bitcoin,2019-09-17,10203.07
bitcoin,2019-09-18,10158.85
bitcoin,2019-09-19,10253.23
bitcoin,2019-09-20,10178.44
bitcoin,2019-09-21,9997.2
bitcoin,2019-09-22,10041.3
bitcoin,2019-09-23,9699.5
bitcoin,2019-09-24,8702.71
bitcoin,2019-09-25,8446.24
bitcoin,2019-09-26,8098.81
bitcoin,2019-09-27,8183.48
bitcoin,2019-09-28,8225.11
bitcoin,2019-09-29,8064.38
bitcoin,2019-09-30,8271.29
bitcoin,2019-10-01,8366.5
bitcoin,2019-10-02,8350.13
bitcoin,2019-10-03,8176.35
bitcoin,2019-10-04,8156.52
bitcoin,2019-10-05,8140.24
bitcoin,2019-10-06,7890.23
bitcoin,2019-10-07,8182.25
bitcoin,2019-10-08,8180.69
bitcoin,2019-10-09,8573.06
bitcoin,2019-10-10,8561.52
bitcoin,2019-10-11,8277.85
bitcoin,2019-10-12,8308.47
bitcoin,2019-10-13,8289.5
bitcoin,2019-10-14,8347.35
bitcoin,2019-10-15,8175.86
bitcoin,2019-10-16,8010.3
bitcoin,2019-10-17,8079.93
bitcoin,2019-10-18,7957.31
bitcoin,2019-10-19,7949.8
bitcoin,2019-10-20,8208.36
bitcoin,2019-10-21,8220.92
bitcoin,2019-10-22,8045.29
bitcoin,2019-10-23,7468.53
bitcoin,2019-10-24,7433.92
bitcoin,2019-10-25,8652.03
bitcoin,2019-10-26,9217.24
bitcoin,2019-10-27,9502.02
bitcoin,2019-10-28,9239.9
bitcoin,2019-10-29,9407.16
bitcoin,2019-10-30,9171.87
bitcoin,2019-10-31,9151.82
bitcoin,2019-11-01,9233.41
bitcoin,2019-11-02,9302.83
bitcoin,2019-11-03,9204.29
bitcoin,2019-11-04,9378.95
bitcoin,2019-11-05,9300.37
bitcoin,2019-11-06,9340.05
bitcoin,2019-11-07,9221.07
bitcoin,2019-11-08,8795.9
bitcoin,2019-11-09,8809.78
bitcoin,2019-11-10,9043.67
bitcoin,2019-11-11,8729.92
bitcoin,2019-11-12,8806.75
bitcoin,2019-11-13,8770.78
bitcoin,2019-11-14,8652.03
bitcoin,2019-11-15,8480.44
bitcoin,2019-11-16,8496.38
bitcoin,2019-11-17,8508.5
bitcoin,2019-11-18,8202.83
bitcoin,2019-11-19,8138.83
bitcoin,2019-11-20,8095.87
bitcoin,2019-11-21,7632.49
bitcoin,2019-11-22,7293.01
bitcoin,2019-11-23,7309.69
bitcoin,2019-11-24,6935.74
bitcoin,2019-11-25,7118.26
bitcoin,2019-11-26,7157.68
bitcoin,2019-11-27,7483.75
bitcoin,2019-11-28,7438.62
bitcoin,2019-11-29,7720.87
bitcoin,2019-11-30,7556.4
bitcoin,2019-12-01,7405.81
bitcoin,2019-12-02,7308.98
bitcoin,2019-12-03,7286.08
bitcoin,2019-12-04,7209.97
bitcoin,2019-12-05,7373.78
bitcoin,2019-12-06,7530.92
bitcoin,2019-12-07,7493.55
bitcoin,2019-12-08,7508.32
bitcoin,2019-12-09,7347.04
bitcoin,2019-12-10,7233.95
bitcoin,2019-12-11,7197.43
bitcoin,2019-12-12,7200.71
bitcoin,2019-12-13,7247.35
bitcoin,2019-12-14,7081.74
bitcoin,2019-12-15,7108.56
bitcoin,2019-12-16,6901.04
bitcoin,2019-12-17,6627.16
bitcoin,2019-12-18,7274.77
bitcoin,2019-12-19,7152.56
bitcoin,2019-12-20,7185.44
bitcoin,2019-12-21,7141.55
bitcoin,2019-12-22,7488.2
bitcoin,2019-12-23,7335.21
bitcoin,2019-12-24,7266.61
bitcoin,2019-12-25,7204.18
bitcoin,2019-12-26,7208.49
bitcoin,2019-12-27,7247.62
bitcoin,2019-12-28,7307.89
bitcoin,2019-12-29,7394.03
bitcoin,2019-12-30,7240.43
bitcoin,2019-12-31,7195.15
bitcoin,2020-01-01,7193.75
bitcoin,2020-01-02,6963.85
bitcoin,2020-01-03,7300.35
bitcoin,2020-01-04,7351.38
bitcoin,2020-01-05,7349.97
bitcoin,2020-01-06,7734.68
bitcoin,2020-01-07,8147.42
bitcoin,2020-01-08,8045.79
bitcoin,2020-01-09,7832.8
bitcoin,2020-01-10,8180.51
bitcoin,2020-01-11,8012.09
bitcoin,2020-01-12,8171.4
bitcoin,2020-01-13,8110.65
bitcoin,2020-01-14,8801.87
bitcoin,2020-01-15,8820.85
bitcoin,2020-01-16,8720.92
bitcoin,2020-01-17,8902.57
bitcoin,2020-01-18,8906.9
bitcoin,2020-01-19,8690.38
bitcoin,2020-01-20,8631.25
bitcoin,2020-01-21,8724.82
bitcoin,2020-01-22,8665.44
bitcoin,2020-01-23,8415.96
bitcoin,2020-01-24,8432.1
bitcoin,2020-01-25,8348.67
bitcoin,2020-01-26,8595.73
bitcoin,2020-01-27,8879.34
bitcoin,2020-01-28,9320.81
bitcoin,2020-01-29,9276.89
bitcoin,2020-01-30,9509.81
bitcoin,2020-01-31,9308.06
bitcoin,2020-02-01,9363.22
bitcoin,2020-02-02,9338.42
bitcoin,2020-02-03,9308.91
bitcoin,2020-02-04,9179.96
bitcoin,2020-02-05,9592.18
bitcoin,2020-02-06,9744.64
bitcoin,2020-02-07,9799.45
bitcoin,2020-02-08,9890.7
bitcoin,2020-02-09,10148.38
bitcoin,2020-02-10,9890.12
bitcoin,2020-02-11,10226.93
bitcoin,2020-02-12,10328.9
bitcoin,2020-02-13,10221.26
bitcoin,2020-02-14,10320.16
bitcoin,2020-02-15,9894.14
bitcoin,2020-02-16,9943.67
bitcoin,2020-02-17,9723.61
bitcoin,2020-02-18,10133.82
bitcoin,2020-02-19,9618.41
bitcoin,2020-02-20,9608.17
bitcoin,2020-02-21,9673.01
bitcoin,2020-02-22,9658.61
bitcoin,2020-02-23,9946.72
bitcoin,2020-02-24,9670.96
bitcoin,2020-02-25,9345.34
bitcoin,2020-02-26,8801.66
bitcoin,2020-02-27,8781.18
bitcoin,2020-02-28,8717.33
bitcoin,2020-02-29,8552.99
bitcoin,2020-03-01,8567.8
bitcoin,2020-03-02,8905.88
bitcoin,2020-03-03,8756.72
bitcoin,2020-03-04,8758.65
bitcoin,2020-03-05,9038.87
bitcoin,2020-03-06,9135.85
bitcoin,2020-03-07,8902.2
bitcoin,2020-03-08,8041.37
bitcoin,2020-03-09,7921.33
bitcoin,2020-03-10,7906.73
bitcoin,2020-03-11,7935.52
bitcoin,2020-03-12,5142.99
bitcoin,2020-03-13,5542.82
bitcoin,2020-03-14,5214.19
bitcoin,2020-03-15,5397.93
bitcoin,2020-03-16,5032.5
bitcoin,2020-03-17,5389.42
bitcoin,2020-03-18,5376.28
bitcoin,2020-03-19,6170.2
bitcoin,2020-03-20,6195.6
bitcoin,2020-03-21,6145.77
bitcoin,2020-03-22,5859.65
bitcoin,2020-03-23,6456.35
bitcoin,2020-03-24,6730.17
bitcoin,2020-03-25,6695.9
bitcoin,2020-03-26,6765.56
bitcoin,2020-03-27,6397.83
bitcoin,2020-03-28,6255.0
bitcoin,2020-03-29,5915.34
bitcoin,2020-03-30,6403.14
bitcoin,2020-03-31,6421.71
bitcoin,2020-04-01,6640.8
bitcoin,2020-04-02,6807.9
bitcoin,2020-04-03,6732.85
bitcoin,2020-04-04,6859.42
bitcoin,2020-04-05,6788.05
bitcoin,2020-04-06,7297.64
bitcoin,2020-04-07,7196.78
bitcoin,2020-04-08,7342.29
bitcoin,2020-04-09,7294.49
bitcoin,2020-04-10,6864.69
bitcoin,2020-04-11,6878.78
bitcoin,2020-04-12,6913.16
bitcoin,2020-04-13,6857.54
bitcoin,2020-04-14,6860.18
bitcoin,2020-04-15,6629.43
bitcoin,2020-04-16,7059.93
bitcoin,2020-04-17,7035.26
bitcoin,2020-04-18,7242.51
bitcoin,2020-04-19,7127.51
bitcoin,2020-04-20,6856.46
bitcoin,2020-04-21,6842.04
bitcoin,2020-04-22,7110.0
bitcoin,2020-04-23,7382.79
bitcoin,2020-04-24,7495.39
bitcoin,2020-04-25,7538.56
bitcoin,2020-04-26,7683.87
bitcoin,2020-04-27,7774.28
bitcoin,2020-04-28,7758.23
bitcoin,2020-04-29,8744.43
bitcoin,2020-04-30,8610.64
bitcoin,2020-05-01,8824.82
